Intra.Dis	Inter.Dis	fish	chisq	p.adjust	X95CIdown	X95CIup	OR
Nefb	HeartD-Dibt	NA	0	0	2.2518	2.3668	2.3086
Nefb	Hyte-Phkt	NA	3.40031038220147e-139	5.23647798859026e-137	1.6357	1.7798	1.7061
Nefb	Alps-Babi	NA	1.10466462387492e-63	1.83374327563237e-61	2.9679	4.0564	3.4612
Nefb	Alps-Deme	NA	3.98474426066021e-238	1.03204876351099e-235	2.0368	2.2329	2.1323
Nefb	Atls-HeartD	NA	0	0	2.25	2.3668	2.3079
Nefb	Atls-Hemo	NA	1.63831180029666e-318	4.40705874279801e-316	1.7754	1.891	1.8324
Nefb	Babi-Retb	NA	0	0	2.6316	2.8686	2.7472
Nefb	DCM-Hutt	NA	0	0	2.4416	2.632	2.5351
Nefb	Deme-Atls	NA	0	0	1.8074	1.9029	1.8545
Nefb	Deme-Phkt	NA	5.43601301137332e-84	9.89354368069944e-82	1.4747	1.6107	1.5411
Nefb	Dibt-Babi	NA	0	0	3.0132	3.229	3.1197
Nefb	HeartD-Mgcn	NA	1.39189640071982e-227	3.53541685782834e-225	1.7835	1.9243	1.8524
Nefb	HeartD-Retb	NA	0	0	1.95	2.0519	2.0003
Nefb	Hutt-LQTs	NA	0	0	2.0269	2.1753	2.0999
Nefb	Hyte-Hutt	NA	0	0	1.7342	1.8253	1.7792
Nefb	Hyte-Nefb	NA	6.7577483781631e-229	1.72322583643159e-226	1.5096	1.5929	1.5507
Nefb	LQTs-Babi	NA	6.63456972966286e-130	1.39989421295886e-127	2.8068	3.4042	3.0883
Nefb	Mgcn-Alps	NA	6.54164409491297e-13	3.79415357504952e-11	1.5557	2.1947	1.8428
Nefb	Mgcn-Hemo	NA	3.07371528836061e-31	3.35034966431307e-29	1.5841	1.918	1.7419
Nefb	Nefb-LQTs	NA	2.40718668127872e-251	6.25868537132467e-249	2.0983	2.3033	2.1982
Nefb	Phkt-Dibt	NA	1.35198786986792e-200	3.27181064508037e-198	1.7003	1.8321	1.7649
Nefb	Phkt-Retb	NA	2.46944988664249e-111	4.93889977328498e-109	1.6623	1.8349	1.7463
Hemo	Retb-DCM	NA	1.10822988995065e-116	1.60693334042844e-114	2.0285	2.3242	2.1718
Hemo	Nefb-Phkt	NA	5.25181914601075e-17	2.73094595592559e-15	1.3151	1.5584	1.4316
Hemo	Hemo-LQTs	NA	3.94344890119204e-87	5.24478703858541e-85	2.2217	2.6646	2.4327
Hemo	Hutt-Deme	NA	6.77488715936567e-45	6.50389167299104e-43	1.451	1.6403	1.5432
Hemo	Phkt-Alps	NA	2.96842408154562e-12	1.33579083669553e-10	1.6174	2.3926	1.9612
Hemo	DCM-Mgcn	NA	1.83399543139305e-29	1.37549657354479e-27	1.8924	2.5013	2.173
Hemo	Alps-Atls	NA	2.59580911317754e-82	3.3745518471308e-80	1.858	2.1463	1.9973
Hemo	LQTs-Retb	NA	9.09463193662067e-116	1.30053236693676e-113	2.0121	2.3031	2.153
Hemo	Mgcn-Babi	NA	1.15872045705118e-19	6.83645069660196e-18	1.6759	2.2495	1.9388
Hemo	Atls-Hyte	NA	4.15871174851308e-73	5.07362833318596e-71	1.6364	1.8496	1.7402
Hemo	Babi-Dibt	NA	1.00839056568193e-220	1.76468348994338e-218	2.5821	2.9439	2.7577
Hemo	Deme-HeartD	NA	1.21948309430591e-116	1.75605565580051e-114	1.8883	2.1338	2.0079
Hemo	Dibt-Hutt	NA	4.73813543114434e-71	5.68576251737321e-69	1.622	1.8328	1.7247
Hemo	HeartD-Dibt	NA	4.60742117366619e-123	6.72683491355264e-121	1.9199	2.1687	2.0411
Hemo	Hyte-Phkt	NA	1.95248304352135e-31	1.56198643481708e-29	1.4062	1.6173	1.5083
Hemo	Alps-Babi	NA	1.73790576639538e-44	2.41568901528958e-42	2.5967	3.6207	3.0595
Hemo	Alps-Deme	NA	8.03676429525926e-69	1.36624993019407e-66	1.7533	2.0261	1.8851
Hemo	Atls-HeartD	NA	2.83276537664249e-122	5.89215198341638e-120	1.9187	2.1681	2.0402
Hemo	Atls-Hemo	NA	6.69511427462068e-51	9.97572026918481e-49	1.5191	1.7265	1.6199
Hemo	Babi-Retb	NA	2.07421702822866e-143	4.52179312153848e-141	2.2631	2.6056	2.4287
Hemo	DCM-Hutt	NA	6.3945899674256e-130	1.35565307309423e-127	2.0952	2.3964	2.2412
Hemo	Deme-Atls	NA	3.96455205567529e-58	6.22434672741021e-56	1.5417	1.7428	1.6396
Hemo	Deme-Phkt	NA	7.36059075175903e-18	5.52044306381927e-16	1.2688	1.4626	1.3624
Hemo	Dibt-Babi	NA	1.00839056568193e-220	2.53106031986164e-218	2.5821	2.9439	2.7577
Hemo	HeartD-Mgcn	NA	5.86785439494671e-48	8.50838887267273e-46	1.5305	1.7517	1.6377
Hemo	HeartD-Retb	NA	1.74173450415723e-77	3.04803538227515e-75	1.663	1.8794	1.7684
Hemo	Hutt-LQTs	NA	1.64887934629091e-78	2.902027649472e-76	1.7374	1.9826	1.8565
Hemo	Hyte-Hutt	NA	5.08159077107312e-49	7.46993843347749e-47	1.4791	1.6719	1.573
Hemo	Hyte-Nefb	NA	4.99031837717673e-24	4.59109290700259e-22	1.2885	1.4579	1.371
Hemo	LQTs-Babi	NA	2.99891013656152e-75	5.18811453625143e-73	2.4429	3.0546	2.7302
Hemo	Mgcn-Alps	NA	6.51781698634861e-08	3.19373032331082e-06	1.3623	1.9575	1.6292
Hemo	Mgcn-Hemo	NA	9.32476468444225e-15	5.96784939804304e-13	1.3789	1.7213	1.5399
Hemo	Nefb-LQTs	NA	9.22957112170691e-75	1.58748623293359e-72	1.8068	2.0896	1.9434
Hemo	Phkt-Dibt	NA	1.10615325563741e-39	1.41587616721588e-37	1.4588	1.6682	1.5603
Hemo	Phkt-Retb	NA	6.25973611644891e-31	6.69791764460033e-29	1.4327	1.6631	1.5438
Hutt	Retb-DCM	NA	5.95442090233472e-235	1.06584134151791e-232	1.6578	1.7699	1.7128
Hutt	Nefb-Phkt	NA	7.01370251678739e-05	0.00168328860402897	1.0634	1.1993	1.129
Hutt	Hemo-LQTs	NA	4.79310593576208e-82	6.18310665713308e-80	1.7928	2.055	1.9185
Hutt	Hutt-Deme	NA	9.29286811522938e-154	1.47756603032147e-151	1.1993	1.2349	1.217
Hutt	Phkt-Alps	NA	2.563291033512e-06	6.9208857904824e-05	1.2886	1.8693	1.5468
Hutt	DCM-Mgcn	NA	7.09982439962317e-18	3.83390517579651e-16	1.5138	1.9464	1.7138
Hutt	Alps-Atls	NA	3.62153518088728e-110	5.07014925324219e-108	1.5129	1.6403	1.575
Hutt	LQTs-Retb	NA	1.12626849759963e-242	2.04980866563133e-240	1.6452	1.7526	1.6979
Hutt	Mgcn-Babi	NA	2.41875223557593e-10	9.91688416586131e-09	1.3395	1.7515	1.5291
Hutt	Atls-Hyte	NA	0	0	1.3532	1.3918	1.3724
Hutt	Babi-Dibt	NA	0	0	2.1165	2.2348	2.1748
Hutt	Deme-HeartD	NA	0	0	1.5619	1.6052	1.5834
Hutt	Dibt-Hutt	NA	0	0	1.3419	1.3785	1.3601
Hutt	HeartD-Dibt	NA	0	0	1.589	1.6306	1.6096
Hutt	Hyte-Phkt	NA	5.51132021529009e-21	3.41701853347986e-19	1.1472	1.2337	1.1895
Hutt	Alps-Babi	NA	9.44004035032864e-32	1.04784447888648e-29	2.0726	2.8238	2.4131
Hutt	Alps-Deme	NA	4.90686302022036e-83	8.83235343639665e-81	1.4275	1.5486	1.4866
Hutt	Atls-HeartD	NA	0	0	1.5873	1.6309	1.6089
Hutt	Atls-Hemo	NA	4.60340835574571e-96	8.79250995947431e-94	1.2483	1.3074	1.2774
Hutt	Babi-Retb	NA	1.4434578488475e-263	3.76742498549197e-261	1.8452	1.9887	1.9154
Hutt	DCM-Hutt	NA	6.86754914892893e-295	1.81990052446617e-292	1.7139	1.8231	1.7675
Hutt	Deme-Atls	NA	2.73332529330868e-268	7.18864552140183e-266	1.2745	1.3118	1.2931
Hutt	Deme-Phkt	NA	0.000250767190459807	0.00802455009471382	1.0339	1.1168	1.0744
Hutt	Dibt-Babi	NA	0	0	2.1165	2.2348	2.1748
Hutt	HeartD-Mgcn	NA	7.39244919222096e-58	1.15322207398647e-55	1.2516	1.3329	1.2915
Hutt	HeartD-Retb	NA	0	0	1.3753	1.4141	1.3946
Hutt	Hutt-LQTs	NA	1.65056595022197e-157	3.71377338799943e-155	1.4234	1.5059	1.464
Hutt	Hyte-Hutt	NA	4.4653239177061e-197	1.07614306416717e-194	1.223	1.2581	1.2404
Hutt	Hyte-Nefb	NA	6.82103148586541e-21	5.66145613326829e-19	1.0637	1.099	1.0812
Hutt	LQTs-Babi	NA	1.70534872184935e-61	2.72855795495896e-59	1.9616	2.3677	2.1532
Hutt	Mgcn-Alps	NA	0.0036113678977585	0.101118301137238	1.0862	1.528	1.2848
Hutt	Mgcn-Hemo	NA	3.75731490535659e-05	0.0014277796640355	1.1073	1.334	1.2144
Hutt	Nefb-LQTs	NA	5.85538602529466e-93	1.10666795878069e-90	1.4707	1.5975	1.5325
Hutt	Phkt-Dibt	NA	9.40189800329869e-41	1.24105053643543e-38	1.1935	1.2687	1.2305
Hutt	Phkt-Retb	NA	3.00051439504414e-18	2.28039094023355e-16	1.1646	1.2732	1.2175
Phkt	Retb-DCM	NA	8.20671713755707e-37	7.13984390967465e-35	2.7406	4.113	3.3648
Phkt	Nefb-Phkt	NA	8.13488099088632e-15	3.90474287562543e-13	1.7949	2.7291	2.2178
Phkt	Hemo-LQTs	NA	1.29189904321234e-40	1.20146611018748e-38	3.0422	4.6497	3.7681
Phkt	Hutt-Deme	NA	3.788167853028e-19	2.19713735475624e-17	1.9517	2.9161	2.3909
Phkt	Phkt-Alps	NA	7.54788637237832e-17	3.84942204991294e-15	2.3055	4.0021	3.0365
Phkt	DCM-Mgcn	NA	1.39185538939918e-26	9.88217326473418e-25	2.6496	4.2643	3.3654
Phkt	Alps-Atls	NA	3.68275500267023e-31	2.87254890208278e-29	2.5167	3.7877	3.0942
Phkt	LQTs-Retb	NA	2.5526736307068e-36	2.19529932240785e-34	2.7175	4.0763	3.3358
Phkt	Mgcn-Babi	NA	6.02673566417956e-21	3.67630875514953e-19	2.3532	3.8234	3.0025
Phkt	Atls-Hyte	NA	8.80144629389876e-25	6.16101240572913e-23	2.2008	3.2881	2.6962
Phkt	Babi-Dibt	NA	3.59531368679083e-55	3.99079819233782e-53	3.4827	5.2173	4.2728
Phkt	Deme-HeartD	NA	9.67775590410861e-33	8.03253740041015e-31	2.5395	3.7933	3.1107
Phkt	Dibt-Hutt	NA	2.43498073964131e-24	1.6801367103525e-22	2.1812	3.2583	2.6721
Phkt	HeartD-Dibt	NA	9.0874380722427e-34	7.63344798068387e-32	2.5817	3.8562	3.1622
Phkt	Hyte-Phkt	NA	1.13516674222369e-17	6.01638373378556e-16	1.9021	2.8583	2.3368
Phkt	Alps-Babi	NA	2.34403950605071e-39	2.9769301726844e-37	3.6692	6.1102	4.7372
Phkt	Alps-Deme	NA	6.30566790117895e-28	6.43178125920253e-26	2.3752	3.5755	2.9205
Phkt	Atls-HeartD	NA	1.0066315232161e-33	1.16769256693068e-31	2.5804	3.8547	3.1608
Phkt	Atls-Hemo	NA	3.9910704607886e-21	3.35249918706242e-19	2.0468	3.0634	2.5096
Phkt	Babi-Retb	NA	3.8785188554739e-44	5.2747856434445e-42	3.0619	4.6033	3.7625
Phkt	DCM-Hutt	NA	5.14873975285229e-39	6.48741208859389e-37	2.8291	4.2431	3.4723
Phkt	Deme-Atls	NA	7.12363736119861e-22	6.1263281306308e-20	2.0737	3.0981	2.5403
Phkt	Deme-Phkt	NA	8.47641105828966e-14	5.17061074555669e-12	1.7174	2.583	2.1108
Phkt	Dibt-Babi	NA	3.59531368679083e-55	5.53678307765788e-53	3.4827	5.2173	4.2728
Phkt	HeartD-Mgcn	NA	2.2525971806546e-21	1.91470760355641e-19	2.067	3.1009	2.5372
Phkt	HeartD-Retb	NA	1.31868545755739e-25	1.30549860298182e-23	2.2366	3.3409	2.7398
Phkt	Hutt-LQTs	NA	9.69609700694531e-28	9.79305797701476e-26	2.3441	3.5133	2.8761
Phkt	Hyte-Hutt	NA	5.46495495069349e-20	4.42661351006173e-18	1.9894	2.9721	2.4372
Phkt	Hyte-Nefb	NA	1.92386089438758e-14	1.21203236346418e-12	1.7336	2.5909	2.1241
Phkt	LQTs-Babi	NA	3.68438475788282e-44	5.04760711829946e-42	3.3806	5.2725	4.2289
Phkt	Mgcn-Alps	NA	9.56374112790467e-13	5.35569503162662e-11	1.9346	3.2889	2.5227
Phkt	Mgcn-Hemo	NA	1.04178774501357e-15	6.87579911708956e-14	1.9074	2.9723	2.3855
Phkt	Nefb-LQTs	NA	1.51413676175149e-29	1.58984359983906e-27	2.4481	3.6865	3.0108
Phkt	Phkt-Dibt	NA	2.9181037804223e-19	2.33448302433784e-17	1.9696	2.9539	2.4173
Phkt	Phkt-Retb	NA	2.54108166775685e-18	1.95663288417277e-16	1.9436	2.9307	2.3918
DCM	Retb-DCM	NA	1.59255451308156e-195	2.70734267223865e-193	3.0174	3.5602	3.2783
DCM	Nefb-Phkt	NA	2.92762583790606e-57	3.30821719683385e-55	1.961	2.3812	2.161
DCM	Hemo-LQTs	NA	1.43728927103549e-152	2.25654415552572e-150	3.315	4.0682	3.6722
DCM	Hutt-Deme	NA	5.3396721569276e-110	7.42214429812936e-108	2.1558	2.5158	2.3296
DCM	Phkt-Alps	NA	6.3197225059056e-29	4.67659465437014e-27	2.4266	3.6319	2.9601
DCM	DCM-Mgcn	NA	4.44932221972829e-62	5.2057069970821e-60	2.8335	3.8049	3.2801
DCM	Alps-Atls	NA	4.27327266355378e-153	6.75177080841497e-151	2.7655	3.2855	3.015
DCM	LQTs-Retb	NA	1.43984373559554e-194	2.43333591315646e-192	2.9926	3.528	3.2499
DCM	Mgcn-Babi	NA	4.76326560608195e-46	4.62036763789949e-44	2.51	3.4204	2.9265
DCM	Atls-Hyte	NA	7.32427755479471e-146	1.14258729854797e-143	2.4312	2.8369	2.6271
DCM	Babi-Dibt	NA	2.18457752921039e-311	4.15069730549974e-309	3.8392	4.5113	4.1632
DCM	Deme-HeartD	NA	1.20070348842695e-196	2.05320296521008e-194	2.805	3.2727	3.031
DCM	Dibt-Hutt	NA	2.10538406925648e-143	3.26334530734754e-141	2.4098	2.8111	2.6037
DCM	HeartD-Dibt	NA	7.06040354328091e-204	1.2214498129876e-201	2.852	3.3268	3.0812
DCM	Hyte-Phkt	NA	9.19194008148553e-87	1.21333609075609e-84	2.0924	2.4764	2.2769
DCM	Alps-Babi	NA	2.92336914335467e-79	5.17436338373777e-77	3.8925	5.5001	4.618
DCM	Alps-Deme	NA	3.92314115778797e-136	8.5132163123999e-134	2.61	3.1012	2.8456
DCM	Atls-HeartD	NA	5.53864381640114e-203	1.35696773501828e-200	2.8504	3.3258	3.0798
DCM	Atls-Hemo	NA	1.11562238554434e-116	2.27586966651045e-114	2.2581	2.6464	2.4453
DCM	Babi-Retb	NA	4.85145164269631e-226	1.22741726560217e-223	3.3675	3.9896	3.6666
DCM	DCM-Hutt	NA	5.61379348500147e-211	1.39222078428036e-208	3.116	3.6714	3.3833
DCM	Deme-Atls	NA	3.06944979668323e-127	6.44584457303478e-125	2.2906	2.6728	2.4752
DCM	Deme-Phkt	NA	7.46993667721083e-65	1.24747942509421e-62	1.8882	2.2392	2.0567
DCM	Dibt-Babi	NA	2.18457752921039e-311	5.85466777828384e-309	3.8392	4.5113	4.1632
DCM	HeartD-Mgcn	NA	4.15215404950535e-111	8.26278655851565e-109	2.2765	2.6832	2.4722
DCM	HeartD-Retb	NA	3.64009621259348e-151	8.11741455408346e-149	2.4706	2.8827	2.6695
DCM	Hutt-LQTs	NA	1.08714992042932e-150	2.41347282335309e-148	2.5837	3.0378	2.8024
DCM	Hyte-Hutt	NA	1.59925723602315e-115	3.24649218912699e-113	2.1974	2.5643	2.3745
DCM	Hyte-Nefb	NA	6.92702464581851e-80	1.23301038695569e-77	1.9144	2.2359	2.0696
DCM	LQTs-Babi	NA	4.624943187539e-131	9.85112898945807e-129	3.6515	4.6546	4.1211
DCM	Mgcn-Alps	NA	9.75787347062627e-23	8.68450738885738e-21	2.0432	2.9727	2.459
DCM	Mgcn-Hemo	NA	3.54928597580056e-45	4.96900036612078e-43	2.061	2.6232	2.3245
DCM	Nefb-LQTs	NA	1.78535867107505e-143	3.90993548965436e-141	2.6897	3.1979	2.9336
DCM	Phkt-Dibt	NA	5.20700139910663e-100	1.00495127002758e-97	2.1696	2.5556	2.3554
DCM	Phkt-Retb	NA	9.20672177279078e-84	1.66641664087513e-81	2.1333	2.5449	2.3305
Alps	Retb-DCM	NA	2.04267795386487e-08	7.35364063391353e-07	1.4566	2.2328	1.81
Alps	Nefb-Phkt	NA	0.118088021574499	0.826616151021493	0.9543	1.4812	1.1931
Alps	Hemo-LQTs	NA	1.04758421529325e-10	4.39985370423165e-09	1.6177	2.5236	2.0274
Alps	Hutt-Deme	NA	0.0190490272241131	0.24763735391347	1.0371	1.583	1.2861
Alps	Phkt-Alps	NA	0.000533408979087787	0.0101231453106609	1.2295	2.1692	1.6342
Alps	DCM-Mgcn	NA	1.28925233841545e-06	3.73883178140481e-05	1.4109	2.313	1.8107
Alps	Alps-Atls	NA	1.94677226608739e-06	5.45096234504469e-05	1.3376	2.0562	1.6645
Alps	LQTs-Retb	NA	3.2478642961706e-08	1.13675250365971e-06	1.4441	2.213	1.7943
Alps	Mgcn-Babi	NA	0.000136949063472669	0.00304248489013951	1.2533	2.0735	1.6156
Alps	Atls-Hyte	NA	0.000464275661351517	0.00928551322703034	1.1695	1.785	1.4503
Alps	Babi-Dibt	NA	9.85734019803088e-16	4.92867009901544e-14	1.851	2.8326	2.2983
Alps	Deme-HeartD	NA	9.89149250008005e-07	2.96744775002402e-05	1.3494	2.0594	1.6733
Alps	Dibt-Hutt	NA	0.00063892457718669	0.0108617178121737	1.1591	1.7689	1.4373
Alps	HeartD-Dibt	NA	4.26909119931322e-07	1.3234182717871e-05	1.3719	2.0935	1.7011
Alps	Hyte-Phkt	NA	0.035939633016008	0.404799104102854	1.011	1.5516	1.2571
Alps	Alps-Babi	NA	2.68991894445578e-13	1.61395136667347e-11	1.9553	3.3129	2.5491
Alps	Alps-Deme	NA	2.63797577955795e-05	0.0010288105540276	1.2625	1.9409	1.571
Alps	Atls-HeartD	NA	4.39136429204222e-07	1.976113931419e-05	1.3712	2.0927	1.7003
Alps	Atls-Hemo	NA	0.00513434639588877	0.133493006293108	1.0878	1.663	1.35
Alps	Babi-Retb	NA	2.27317775973647e-11	1.22751599025769e-09	1.6275	2.4988	2.0241
Alps	DCM-Hutt	NA	3.11120276122598e-09	1.61782543583751e-07	1.5035	2.3034	1.8677
Alps	Deme-Atls	NA	0.0034304424430409	0.0994828308481861	1.1019	1.6819	1.3665
Alps	Deme-Phkt	NA	0.255455575780293	1	0.9128	1.4022	1.1355
Alps	Dibt-Babi	NA	9.85734019803088e-16	6.60441793268069e-14	1.851	2.8326	2.2983
Alps	HeartD-Mgcn	NA	0.00388164477359489	0.104804408887062	1.0986	1.6832	1.3649
Alps	HeartD-Retb	NA	0.000256205336542455	0.00802455009471382	1.1885	1.8138	1.4738
Alps	Hutt-LQTs	NA	4.17701667144089e-05	0.00154549616843313	1.2458	1.9071	1.5471
Alps	Hyte-Hutt	NA	0.0114716463932881	0.286791159832202	1.0572	1.6135	1.3109
Alps	Hyte-Nefb	NA	0.22472635569487	1	0.9212	1.4064	1.1425
Alps	LQTs-Babi	NA	4.17391024523173e-13	2.46260704468672e-11	1.7986	2.8606	2.2751
Alps	Mgcn-Alps	NA	0.0277167811097543	0.58205240330484	1.0312	1.7828	1.3575
Alps	Mgcn-Hemo	NA	0.0342771781200435	0.68554356240087	1.0149	1.6129	1.2833
Alps	Nefb-LQTs	NA	7.0744847446202e-06	0.000290053874529428	1.3013	2.0012	1.6196
Alps	Phkt-Dibt	NA	0.0151500494053236	0.363601185727766	1.0468	1.6035	1.3004
Alps	Phkt-Retb	NA	0.0214863056432634	0.472698724151795	1.0331	1.5908	1.2866
LQTs	Retb-DCM	NA	1.17258564060661e-161	1.91131459418877e-159	2.6471	3.1058	2.868
LQTs	Nefb-Phkt	NA	3.35689485357041e-41	3.15548116235619e-39	1.7195	2.0781	1.8905
LQTs	Hemo-LQTs	NA	1.28188708566128e-126	1.91001175763531e-124	2.9066	3.5506	3.2124
LQTs	Hutt-Deme	NA	2.60312243661867e-83	3.41009039197046e-81	1.8914	2.1943	2.038
LQTs	Phkt-Alps	NA	1.50624177144154e-22	9.79057151437001e-21	2.1256	3.1737	2.5897
LQTs	DCM-Mgcn	NA	1.06407092830208e-49	1.08535234686812e-47	2.4828	3.3236	2.8694
LQTs	Alps-Atls	NA	5.37911600453206e-124	7.90730052666213e-122	2.4258	2.8661	2.6374
LQTs	LQTs-Retb	NA	1.12232398329542e-160	1.80694161310563e-158	2.6251	3.0775	2.8432
LQTs	Mgcn-Babi	NA	5.83754981773388e-36	4.9619173450738e-34	2.1993	2.9877	2.5599
LQTs	Atls-Hyte	NA	3.41738528030232e-115	4.85268709802929e-113	2.1331	2.4741	2.2982
LQTs	Babi-Dibt	NA	1.3565816554002e-267	2.48254442938237e-265	3.3681	3.9352	3.6415
LQTs	Deme-HeartD	NA	4.00979505654886e-161	6.49586799160915e-159	2.4614	2.8544	2.6515
LQTs	Dibt-Hutt	NA	5.84641523534389e-113	8.24344548183488e-111	2.1143	2.4516	2.2775
LQTs	HeartD-Dibt	NA	1.12776700297125e-167	1.84953788487285e-165	2.5024	2.9012	2.6954
LQTs	Hyte-Phkt	NA	1.43423024871397e-64	1.70673399596962e-62	1.8354	2.1604	1.9919
LQTs	Alps-Babi	NA	2.87146313399666e-66	4.85277269645436e-64	3.4098	4.806	4.0403
LQTs	Alps-Deme	NA	9.43456176768143e-109	1.85860866823324e-106	2.2893	2.7056	2.4892
LQTs	Atls-HeartD	NA	6.78915876477046e-167	1.55471735713244e-164	2.501	2.9003	2.6942
LQTs	Atls-Hemo	NA	9.30040509685449e-90	1.73917575311179e-87	1.9811	2.3084	2.1391
LQTs	Babi-Retb	NA	4.67327258864316e-190	1.10289233091979e-187	2.954	3.4805	3.2069
LQTs	DCM-Hutt	NA	1.42011745872478e-175	3.30887367882874e-173	2.7335	3.2028	2.9597
LQTs	Deme-Atls	NA	1.42984777393358e-98	2.74530772595247e-96	2.0096	2.3313	2.1653
LQTs	Deme-Phkt	NA	7.01337847115881e-46	9.95899742904551e-44	1.6562	1.9534	1.7992
LQTs	Dibt-Babi	NA	1.3565816554002e-267	3.55424393714852e-265	3.3681	3.9352	3.6415
LQTs	HeartD-Mgcn	NA	1.62470574626851e-85	2.98945857313406e-83	1.997	2.3407	2.1627
LQTs	HeartD-Retb	NA	5.97738180883058e-120	1.22536327081027e-117	2.1677	2.514	2.3353
LQTs	Hutt-LQTs	NA	1.4070233792677e-120	2.89846816129146e-118	2.2665	2.6498	2.4514
LQTs	Hyte-Hutt	NA	3.66617393242915e-88	6.81908351431822e-86	1.928	2.2364	2.0772
LQTs	Hyte-Nefb	NA	3.50676726484989e-57	5.43548926051733e-55	1.6796	1.9501	1.8105
LQTs	LQTs-Babi	NA	1.42195738536854e-109	2.81547562302971e-107	3.2007	4.0643	3.6052
