Variants	dbGene	Disease	Tissue	ExpPPoM	REZ_1-p	Ep++	Rank
Var36	AFP	AS	Heart	0.022655908	0.555584748	0.2435	69
Var37	TDO2	AS	Heart	0.552541702	0.245120265	0.2871	63.5
Var38	GLRB	AS	Heart	0.455799125	0.998629794	0.8833	6
Var39	FSTL5	AS	Heart	0.022118268	0.06338441	0.0041	159.5
Var40	FAT1	AS	Heart	0.026887129	0.823004245	0.5304	42
Var41	SLC22A5	AS	Heart	0.022300278	0.866769982	0.5869	33
Var42	DDX46	AS	Heart	0.130583826	0.128279175	0.0279	139
Var43	MYOZ3	AS	Heart	0.025769933	0.999999907	0.7803	13.5
Var44	TULP1	AS	Heart	0.084468768	0.399512275	0.1325	88
Var45	CUL9	AS	Heart	0.046255046	0.77924913	0.4773	45
Var46	ENPP5	AS	Heart	0.954288104	0.29875397	0.7787	17
Var47	PNRC1	AS	Heart	0.213169071	0.7185483	0.4395	49
Var48	GABRR2	AS	Heart	0.114292667	0.823560965	0.5409	40
Var49	MDN1	AS	Heart	0.026887129	0.10589365	0.0102	155
Var50	PRDM13	AS	Heart	0.025279306	0.37335615	0.1115	94
Var51	MOXD1	AS	Heart	0.026051843	0.763029575	0.4556	47
Var52	SYNE1	AS	Heart	0.026887129	0.47831982	0.1816	77
Var53	FAM120B	AS	Heart	0.033244973	0.46900426	0.1749	82
Var54	RBAK	AS	Heart	0.159138997	0.189756665	0.0498	116
Var55	NME8	AS	Heart	0.022118268	0.13327175	0.0154	152
Var56	TRRAP	AS	Heart	0.02854252	0.193265565	0.0316	132
Var57	MUC3A	AS	Heart	0.022118268	1	0.7803	13.5
Var58	WASL	AS	Heart	0.093742245	0.090000095	0.0142	153.5
Var59	GBX1	AS	Heart	0.248611987	1	0.8201	7
Var60	CHPF2	AS	Heart	0.022118268	0.65022286	0.3326	56
Var61	FAM167A	AS	Heart	0.025952704	0.0682843	0.005	158
Var62	ATP6V1B2	AS	Heart	0.041877103	0.26475418	0.0581	111
Var63	DMTN	AS	Heart	0.027466228	0.992111944	0.7682	20
Var64	RUNX1T1	AS	Heart	0.054566319	0.839859295	0.5539	36
Var65	TYRP1	AS	Heart	0.02927549	1	0.7809	11
Var66	CEP78	AS	Heart	0.636211606	0.6234235	0.6195	31
Var67	SPATA31E1	AS	Heart	0.022118268	0.19741635	0.0322	130
Var68	HSPA5	AS	Heart	0.12274003	0.977194905	0.7563	24
Var69	C9orf50	AS	Heart	0.022278467	0.1277844	0.0142	153.5
Var70	SETX	AS	Heart	0.027069138	0.09894338	0.0092	156
Var71	EGFL7	AS	Heart	0.802954777	0.992455653	0.9786	1
Var72	DIP2C	AS	Heart	0.762392517	0.574290915	0.7109	27
Var73	FRMD4A	AS	Heart	0.208037486	0.686484635	0.4027	52
Var74	KIAA1217	AS	Heart	0.022118268	0.636715465	0.3193	58
Var75	BAMBI	AS	Heart	0.243424303	0.996929894	0.815	8
Var76	MAP3K8	AS	Heart	0.043683635	0.43782122	0.1533	85.5
Var77	OR13A1	AS	Heart	0.024122288	0.1510972	0.0197	146
Var78	SYNPO2L	AS	Heart	0.022376981	1	0.7803	13.5
Var79	MYOF	AS	Heart	0.022118268	0.37857197	0.1145	93
Var80	PIK3AP1	AS	Heart	0.022599326	0.474195645	0.1776	81
Var81	USP47	AS	Heart	0.066897351	0.938622611	0.6912	28
Var82	HPS5	AS	Heart	0.022118268	0.14248518	0.0175	148
Var83	TMEM86A	AS	Heart	0.278277627	0.452308855	0.2226	72
Var84	PDHX	AS	Heart	0.022118268	0.999895439	0.7795	16
Var85	OR5L1	AS	Heart	0.086690079	0.17274878	0.0308	133
Var86	OR5L1	AS	Heart	0.102063477	0.17274878	0.0329	129
Var87	PGA5	AS	Heart	0.632933071	0.463634515	0.4817	44
Var88	VEGFB	AS	Heart	0.022118268	0.998527978	0.7774	19
Var89	DPP3	AS	Heart	0.834610644	0.08317521	0.5503	37
Var90	DNAJB13	AS	Heart	0.022189624	0.530364365	0.2224	73
Var91	XRRA1	AS	Heart	0.022798082	0.50294178	0.2002	75
Var92	SYTL2	AS	Heart	0.032917308	0.1694906	0.0249	141
Var93	FAT3	AS	Heart	0.030169389	0.29858135	0.0722	103
Var94	PIH1D2	AS	Heart	0.038096184	0.31311844	0.0797	102
Var95	BUD13	AS	Heart	0.022118268	0.462222565	0.1693	83
Var96	TMPRSS4	AS	Heart	0.025087185	0.26589641	0.0579	112
Var97	KMT2A	AS	Heart	0.32264491	0.627043305	0.3892	54
Var98	SCNN1A	AS	Heart	0.502032531	0.233762125	0.2417	70
Var99	CLEC12A	AS	Heart	0.024538192	0.991334755	0.7668	21
Var100	BCL2L14	AS	Heart	0.086953774	0.33574165	0.0961	98
Var101	UTP20	AS	Heart	0.026887129	0.061697	0.0041	159.5
Var102	VSIG10	AS	Heart	0.023332396	0.18995035	0.0298	134.5
Var103	CCDC62	AS	Heart	0.022207911	0.08503133	0.0069	157
Var104	SFSWAP	AS	Heart	0.027731304	0.70557417	0.3906	53
Var105	ANKRD10	AS	Heart	0.036988085	0.27885193	0.0636	106.5
Var106	GRK1	AS	Heart	0.684081962	0.94103082	0.9286	4
Var107	DAAM1	AS	Heart	0.647819716	0.946183177	0.9187	5
Var108	WDR89	AS	Heart	0.132240061	0.60434005	0.3008	61
Var109	SIPA1L1	AS	Heart	0.052862005	0.621320165	0.3056	60
Var110	PPP4R4	AS	Heart	0.08985904	0.187524725	0.0351	125.5
Var111	RYR3	AS	Heart	0.026887129	0.16052288	0.0218	144
Var112	TMEM87A	AS	Heart	0.038396452	0.3664725	0.1084	96
Var113	CAPN3	AS	Heart	0.022118268	0.211365075	0.0369	124
Var114	AP4E1	AS	Heart	0.022482881	0.35135365	0.0987	97
Var115	MYO9A	AS	Heart	0.026887129	0.043418705	0.0026	161
Var116	NEO1	AS	Heart	0.274812168	0.288688225	0.1266	89
Var117	FANCI	AS	Heart	0.022118268	0.24014303	0.0471	119
Var118	SLCO3A1	AS	Heart	0.178122473	0.975235231	0.7666	22
Var119	LRRK1	AS	Heart	0.066687006	0.268725755	0.0618	108
Var120	ABCC6	AS	Heart	0.231309248	0.49139814	0.2325	71
Var121	GDE1	AS	Heart	0.055696384	0.923924383	0.6685	29
Var122	IQCK	AS	Heart	0.022118268	0.20656632	0.0351	125.5
Var123	IL4R	AS	Heart	0.022118268	0.31961317	0.0819	101
Var124	GTF3C1	AS	Heart	0.026971659	0.86319253	0.5831	34
Var125	MVP	AS	Heart	0.061822869	0.15694177	0.0236	142
Var126	NOD2	AS	Heart	0.022118268	0.3798441	0.1155	92
Var127	KLHDC4	AS	Heart	0.025762013	0.72775072	0.4153	51
Var128	SRR	AS	Heart	0.747070743	0.09324935	0.4441	48
Var129	KIAA0100	AS	Heart	0.0261317	0.283687725	0.0654	105
Var130	HAP1	AS	Heart	0.022285112	0.13623047	0.0162	149.5
Var131	TUBG2	AS	Heart	0.266523059	0.052710365	0.059	109
Var132	DCAKD	AS	Heart	0.022148761	0.19025555	0.0298	134.5
Var133	MYL4	AS	Heart	0.042431568	1	0.7817	10
Var134	EPX	AS	Heart	0.480911386	0.40815348	0.3131	59
Var135	MED13	AS	Heart	0.02736721	0.237254365	0.0463	120
Var136	APOH	AS	Heart	0.022118268	0.833506155	0.5435	38.5
Var137	APOH	AS	Heart	0.023634257	0.833506155	0.5435	38.5
Var138	NOL11	AS	Heart	0.022118268	0.297183025	0.0713	104
Var139	TRIM65	AS	Heart	0.02251382	0.604360485	0.2871	63.5
Var140	C18orf63	AS	Heart	0.026130609	0.344799825	0.0959	99
Var141	S1PR2	AS	Heart	0.255194556	0.93811662	0.7373	25
Var142	SLC44A2	AS	Heart	0.092493948	0.1840301	0.0347	128
Var143	ZNF564	AS	Heart	0.250244879	0.27701723	0.1107	95
Var144	HOOK2	AS	Heart	0.02230896	0.601210204	0.2851	65
Var145	CRTC1	AS	Heart	0.032990261	0.135500075	0.0162	149.5
Var146	GATAD2A	AS	Heart	0.024905548	0.27024765	0.0589	110
Var147	ZNF66	AS	Heart	0.026623399	0.2638368	0.0571	113
Var148	SPHK2	AS	Heart	0.023294815	0.52638079	0.2189	74
Var149	DBP	AS	Heart	0.024232941	0.187572375	0.0294	136
Var150	ZNF28	AS	Heart	0.339642708	0.25631883	0.1438	87
Var151	ZNF470	AS	Heart	0.022203775	0.01755135	0.0008	163
Var152	CD93	AS	Heart	0.735770165	0.994152313	0.9651	2
Var153	TPX2	AS	Heart	0.023245495	0.01921805	0.0009	162
Var154	TRPC4AP	AS	Heart	0.216726435	0.144368645	0.0547	115
Var155	PPP1R16B	AS	Heart	0.064448582	0.57728368	0.2659	68
Var156	MYBL2	AS	Heart	0.022069665	0.395541485	0.1252	90
Var157	SPINT4	AS	Heart	0.022075358	0.186185675	0.029	137
Var158	ZSWIM3	AS	Heart	0.022300278	0.22015088	0.0394	122
Var159	PCK1	AS	Heart	0.023019211	0.700631158	0.3856	55
Var160	LAMA5	AS	Heart	0.026887129	0.649010035	0.3312	57
Var161	SRMS	AS	Heart	0.33213939	0.342174675	0.1802	78
Var162	DSCAM	AS	Heart	0.027651473	0.1743218	0.0259	140
Var163	USP26	AS	Heart	0.12745539	0.469539495	0.1875	76
Var1	TAS1R3	PE	Lung	0.030550315	0.37524414	0.1131	136
Var2	ARHGEF16	PE	Lung	0.022118268	0.992085942	0.768	55
Var3	CCDC27	PE	Lung	0.02233077	0.19082564	0.0302	169
Var4	CHD5	PE	Lung	0.027153668	0.0692267	0.0052	200
Var5	PADI4	PE	Lung	0.678199129	1	0.9527	6
Var6	WNT4	PE	Lung	0.976515495	0.47552186	0.8741	13
Var7	SRRM1	PE	Lung	0.050120328	0.18262845	0.0294	172
Var8	UBXN11	PE	Lung	0.568938797	0.997109618	0.9193	9
Var9	BCAR3	PE	Lung	0.022300278	0.73036104	0.4182	88
Var10	FRRS1	PE	Lung	0.195217572	0.89988489	0.6615	67
Var11	AKNAD1	PE	Lung	0.022007615	0.234154	0.0449	163
Var12	C1orf194	PE	Lung	0.022007615	1	0.7803	36
Var13	DPT	PE	Lung	0.022300278	1	0.7803	36
Var14	SERPINC1	PE	Lung	0.883490564	0.90639513	0.9753	2
Var15	ASPM	PE	Lung	0.022118268	0.99965395	0.7784	47.5
Var16	ASPM	PE	Lung	0.022118268	0.99965395	0.7784	47.5
Var17	ASPM	PE	Lung	0.022118268	0.99965395	0.7784	47.5
Var18	PTPRC	PE	Lung	0.061319073	1	0.7829	22
Var19	NR5A2	PE	Lung	0.024944288	0.999999995	0.7803	36
Var20	MYBPH	PE	Lung	0.798961962	0.971948074	0.9727	3
Var21	HHAT	PE	Lung	0.498611441	0.3540469	0.2945	99
Var22	CAPN8	PE	Lung	0.022007615	1	0.7803	36
Var23	DNAH14	PE	Lung	0.022007615	0.69836453	0.3827	90
Var24	OBSCN	PE	Lung	0.498126879	0.95091865	0.8634	14
Var25	TARBP1	PE	Lung	0.022118268	0.0494672	0.0028	209
Var26	KMO	PE	Lung	0.022391081	1	0.7803	36
Var27	SNTG2	PE	Lung	0.0227666	0.3627279	0.1048	139
Var28	TMEM178A	PE	Lung	0.101233019	0.53553164	0.2339	109
Var29	EFEMP1	PE	Lung	0.378849344	0.99957883	0.8591	15
Var30	C2orf78	PE	Lung	0.192172152	0.37933916	0.1436	124
Var31	REG3A	PE	Lung	0.187083179	0.2921196	0.0961	141
Var32	TMEM131	PE	Lung	0.026917622	0.0580272	0.0039	205
Var33	COBLL1	PE	Lung	0.022118268	0.90887584	0.6452	70
Var34	SCN3A	PE	Lung	0.026971659	0.1073896	0.0104	189
Var35	PDE11A	PE	Lung	0.022118268	0.27831435	0.0626	155.5
Var36	PMS1	PE	Lung	0.022300278	0.3768728	0.1137	135
Var37	PIKFYVE	PE	Lung	0.027069138	0.65132582	0.3342	94
Var38	SP110	PE	Lung	0.022300278	0.90276343	0.6368	71
Var39	MROH2A	PE	Lung	0.022007615	0.72715303	0.4143	89
Var40	TRPM8	PE	Lung	0.022300278	0.07284313	0.0052	200
Var41	KIF1A	PE	Lung	0.02860957	0.0920397	0.0083	192.5
Var42	TATDN2	PE	Lung	0.022118268	0.07570994	0.0054	198
Var43	CAND2	PE	Lung	0.022118268	0.0716416	0.0052	200
Var44	DLEC1	PE	Lung	0.022300278	1	0.7803	36
Var45	SCN10A	PE	Lung	0.022118268	0.3381039	0.092	143
Var46	KLHL40	PE	Lung	0.022118268	0.2520845	0.0518	161
Var47	SEMA3G	PE	Lung	0.653267875	0.999999996	0.946	7
Var48	FILIP1L	PE	Lung	0.022118268	0.994054218	0.7714	52
Var49	BOC	PE	Lung	0.022118268	0.49777216	0.1961	118
Var50	LRRC58	PE	Lung	0.022474176	0.0162983	0.0008	213.5
Var51	SEC22A	PE	Lung	0.270702782	0.3985889	0.1834	120
Var52	EPHB1	PE	Lung	0.071754794	0.2699376	0.0626	155.5
Var53	SLC33A1	PE	Lung	0.295471734	0.6197546	0.3689	92
Var54	RTP1	PE	Lung	0.022118268	0.0086361	0.0008	213.5
Var55	NOP14	PE	Lung	0.022118268	0.30646545	0.076	148
Var56	BOD1L1	PE	Lung	0.039448869	0.02803993	0.0022	210
Var57	REST	PE	Lung	0.02251382	0.145805	0.0183	181
Var58	EGF	PE	Lung	0.022007615	0.992902508	0.7692	54
Var59	ALPK1	PE	Lung	0.022118268	0.8524594	0.5686	75
Var60	USP38	PE	Lung	0.252982238	0.73637807	0.4743	82
Var61	PARP8	PE	Lung	0.024232941	0.997256788	0.7756	51
Var62	MARVELD2	PE	Lung	0.716243874	1	0.9621	5
Var63	F2RL2	PE	Lung	0.026186015	0.960094187	0.72	60
Var64	ACOT12	PE	Lung	0.962845562	0.35940033	0.8164	18
Var65	KIAA0825	PE	Lung	0.023041496	0.56543773	0.252	106
Var66	TMEM232	PE	Lung	0.022007615	0.998247176	0.777	50
Var67	DTWD2	PE	Lung	0.03079484	0.51429302	0.2095	114
Var68	PCDHA12	PE	Lung	0.022118268	0.999999519	0.7803	36
Var69	HAVCR2	PE	Lung	0.55412738	1	0.9163	10
Var70	MAK	PE	Lung	0.721762914	0.999999999	0.9633	4
Var71	GMPR	PE	Lung	0.158540319	0.0198199	0.0214	178
Var72	NHLRC1	PE	Lung	0.195834853	0.4092052	0.1626	122
Var73	DNAH8	PE	Lung	0.031794955	0.83486946	0.5451	78
Var74	SLC22A7	PE	Lung	0.028239348	0.2856347	0.0663	154
Var75	AARS2	PE	Lung	0.028809094	0.3550629	0.1013	140
Var76	FBXO9	PE	Lung	0.242648528	0.29902184	0.1183	134
Var77	ANKRD6	PE	Lung	0.228164393	0.34369016	0.1351	126
Var78	AK9	PE	Lung	0.53094885	0.2521713	0.2722	102
Var79	SLC18B1	PE	Lung	0.022118268	0.08748466	0.0069	195.5
Var80	SYNE1	PE	Lung	0.026887129	0.73178455	0.4204	86.5
Var81	SYNE1	PE	Lung	0.026917622	0.73178455	0.4204	86.5
Var82	ARID1B	PE	Lung	0.034902699	0.1464377	0.0189	180
Var83	TULP4	PE	Lung	0.026098788	0.05524224	0.0035	206
Var84	SDK1	PE	Lung	0.081461702	0.999867248	0.7849	21
Var85	POLD2	PE	Lung	0.068617231	0.5353335	0.2298	110
Var86	MDH2	PE	Lung	0.978330239	0.33758414	0.8245	17
Var87	SEMA3E	PE	Lung	0.16810086	0.998726549	0.7985	19
Var88	MUC17	PE	Lung	0.072783957	0.05062556	0.0069	195.5
Var89	PSMC2	PE	Lung	0.257134025	0.080154	0.0585	158.5
Var90	OR6V1	PE	Lung	0.022118268	0.18987316	0.0298	171
Var91	ERICH1	PE	Lung	0.133982073	0.80061369	0.5155	80
Var92	CTSB	PE	Lung	0.026369604	0.923079155	0.6663	66
Var93	RB1CC1	PE	Lung	0.027159942	0.0962231	0.0085	191
Var94	CPNE3	PE	Lung	0.022118268	0.11750096	0.0121	187
Var95	TRIQK	PE	Lung	0.298319331	0.1341192	0.0857	145
Var96	GSDMC	PE	Lung	0.022544312	0.951075334	0.7065	62
Var97	EPPK1	PE	Lung	0.022118268	0.99966158	0.7784	47.5
Var98	PLEC	PE	Lung	0.026887129	0.3888174	0.1206	132.5
Var99	PTPRD	PE	Lung	0.026917622	0.99299747	0.7694	53
Var100	NFX1	PE	Lung	0.022968716	0.16903216	0.0238	177
Var101	IL11RA	PE	Lung	0.022309237	0.085394	0.0069	195.5
Var102	SMC5	PE	Lung	0.031494785	0.62503248	0.3072	95
Var103	PTCH1	PE	Lung	0.229867182	0.1837007	0.0697	153
Var104	HABP4	PE	Lung	0.177936664	0.1566659	0.0459	162
Var105	SVEP1	PE	Lung	0.028486733	0.999999998	0.7805	25.5
Var106	ZFP37	PE	Lung	0.022616073	0.50167453	0.1992	117
Var107	WDR31	PE	Lung	0.025871704	0.29659146	0.0713	152
Var108	GLT6D1	PE	Lung	0.447112392	0.21421134	0.1943	119
Var109	LHX3	PE	Lung	0.022474176	0.0364277	0.0019	211
Var110	NOTCH1	PE	Lung	0.026971659	0.948878776	0.7023	63
Var111	ABCA2	PE	Lung	0.026971659	0.1042262	0.01	190
Var112	ATP5F1C	PE	Lung	0.4296601	0.4430296	0.2998	97
Var113	PRPF18	PE	Lung	0.369224564	0.06741	0.1123	137
Var114	PARD3	PE	Lung	0.027347308	0.52515015	0.2183	113
Var115	USP54	PE	Lung	0.022118268	0.67339167	0.3558	93
Var116	TLL2	PE	Lung	0.030806118	0.317206	0.0813	146
Var117	PIK3AP1	PE	Lung	0.022522779	0.999999997	0.7803	36
Var118	DNMBP	PE	Lung	0.022118268	0.42093223	0.1408	125
Var119	RIC8A	PE	Lung	0.022118268	0.1905438	0.03	170
Var120	RASSF7	PE	Lung	0.022118268	0.99996	0.7803	36
Var121	MUC5B	PE	Lung	0.02677103	1	0.7805	25.5
Var122	STK33	PE	Lung	0.033178721	0.85802698	0.5763	73
Var123	ABCC8	PE	Lung	0.022544312	1	0.7803	36
Var124	NAV2	PE	Lung	0.054558723	0.77456442	0.4713	83
Var125	OR9G4	PE	Lung	0.022380316	0.40263075	0.1289	129
Var126	OR5A1	PE	Lung	0.029037296	0.0471926	0.003	208
Var127	CDCA5	PE	Lung	0.102708244	0.9517812	0.7144	61
Var128	ANKRD13D	PE	Lung	0.02515399	0.6179963	0.3008	96
Var129	XRRA1	PE	Lung	0.022798082	0.22242117	0.0408	165
Var130	NXPE2	PE	Lung	0.022575046	0.0957361	0.0083	192.5
Var131	OR4D5	PE	Lung	0.548685191	0.2456165	0.2845	100
Var132	TBRG1	PE	Lung	0.035532121	0.82323863	0.531	79
Var133	TIRAP	PE	Lung	0.584509178	0.1956286	0.2984	98
Var134	NCAPD3	PE	Lung	0.022118268	0.55270544	0.2411	107
Var135	SLC15A5	PE	Lung	0.022007615	0.39046884	0.1216	130.5
Var136	SLC15A5	PE	Lung	0.022007615	0.39046884	0.1216	130.5
Var137	IAPP	PE	Lung	0.335589954	0.37542546	0.2002	115.5
Var138	COL2A1	PE	Lung	0.026971659	0.999999995	0.7805	25.5
Var139	KCNH3	PE	Lung	0.062959428	0.92596745	0.6717	64
Var140	NCOR2	PE	Lung	0.562763249	0.78052177	0.7224	59
Var141	PAN3	PE	Lung	0.022514231	0.40861547	0.1333	128
Var142	AKAP11	PE	Lung	0.163305213	0.065634	0.0255	176
Var143	ESD	PE	Lung	0.023357431	0.1776495	0.0265	175
Var144	KPNA3	PE	Lung	0.105493473	0.0632521	0.0131	186
Var145	TBC1D4	PE	Lung	0.024584382	0.1824672	0.0279	173.5
Var146	TBC1D4	PE	Lung	0.022100158	0.1824672	0.0279	173.5
Var147	CARMIL3	PE	Lung	0.022460476	0.3330802	0.089	144
Var148	PNN	PE	Lung	0.206159724	0.092308	0.0418	164
Var149	CLMN	PE	Lung	0.022118268	0.26850164	0.0585	158.5
Var150	EML1	PE	Lung	0.023735253	0.7531021	0.4443	85
Var151	DLL4	PE	Lung	0.02753789	0.999999972	0.7805	25.5
Var152	HERC1	PE	Lung	0.026971659	0.53637484	0.2278	111.5
Var153	HERC1	PE	Lung	0.026971659	0.53637484	0.2278	111.5
Var154	LCTL	PE	Lung	0.067192347	0.10850096	0.0137	185
Var155	GRAMD2A	PE	Lung	0.022118268	1	0.7803	36
Var156	TELO2	PE	Lung	0.022118268	0.11200756	0.0112	188
Var157	TSC2	PE	Lung	0.02728268	0.19676477	0.0322	168
Var158	RBFOX1	PE	Lung	0.043921453	0.05041003	0.0041	203.5
Var159	BFAR	PE	Lung	0.040868933	0.91527679	0.6551	68
Var160	ZNF646	PE	Lung	0.022260634	0.06307065	0.0041	203.5
Var161	VAC14	PE	Lung	0.061252744	0.2645245	0.059	157
Var162	PMFBP1	PE	Lung	0.022038108	0.05641395	0.0033	207
Var163	BCAR1	PE	Lung	0.022118268	0.55131733	0.2399	108
Var164	ACSF3	PE	Lung	0.512541405	0.3051956	0.2798	101
Var165	FANCA	PE	Lung	0.025762013	0.924635135	0.6679	65
Var166	DPH1	PE	Lung	0.074665936	0.404787	0.1343	127
Var167	OR1E2	PE	Lung	0.149575873	0.3597473	0.1206	132.5
Var168	HASPIN	PE	Lung	0.846212444	1	0.9876	1
Var169	MED11	PE	Lung	0.161488697	0.30002594	0.0926	142
Var170	ENO3	PE	Lung	0.574494177	0.3812772	0.3731	91
Var171	NT5M	PE	Lung	0.131105834	0.28454775	0.0786	147
Var172	SLC47A1	PE	Lung	0.748767019	0.83073406	0.8995	11
Var173	RFFL	PE	Lung	0.058649731	0.3640991	0.1086	138
Var174	KRTAP4-6	PE	Lung	0.142463736	0.2636887	0.0719	151
Var175	KLHL10	PE	Lung	0.064050155	0.02692616	0.0043	202
Var176	ASB16	PE	Lung	0.823907693	0.1491292	0.5481	76.5
Var177	ANKFN1	PE	Lung	0.025523445	0.9999615	0.7803	36
Var178	ACE	PE	Lung	0.56971797	1	0.9213	8
Var179	COG1	PE	Lung	0.02233077	0.50384435	0.2002	115.5
Var180	TMEM104	PE	Lung	0.024392342	0.88086838	0.607	72
Var181	UNC13D	PE	Lung	0.02251382	1	0.7803	36
Var182	EVPL	PE	Lung	0.02469262	1	0.7803	36
Var183	GAA	PE	Lung	0.022118268	0.969570877	0.733	58
Var184	GREB1L	PE	Lung	0.028753272	0.018943	0.0013	212
Var185	MYO5B	PE	Lung	0.023110974	0.99999371	0.7803	36
Var186	ZCCHC2	PE	Lung	0.022735876	0.83711867	0.5481	76.5
Var187	REXO1	PE	Lung	0.022300278	0.1574559	0.021	179
Var188	LONP1	PE	Lung	0.022300278	0.305497	0.0752	149
Var189	MAST1	PE	Lung	0.030732534	0.20930547	0.0363	167
Var190	NPHS1	PE	Lung	0.575545039	0.05415934	0.2627	105
Var191	SIRT2	PE	Lung	0.775598457	0.14550024	0.4876	81
Var192	HIPK4	PE	Lung	0.02653659	0.2163393	0.0388	166
Var193	SULT2A1	PE	Lung	0.702865425	0.6813683	0.7471	56
Var194	TRPM4	PE	Lung	0.022148761	0.90943428	0.6464	69
Var195	ZNF845	PE	Lung	0.022300278	0.3028032	0.074	150
Var196	TRIB3	PE	Lung	0.022403166	0.999814832	0.7795	45
Var197	FASTKD5	PE	Lung	0.022696423	0.2657866	0.0577	160
Var198	CRLS1	PE	Lung	0.43096962	0.998890592	0.8755	12
Var199	BFSP1	PE	Lung	0.081941288	0.4258358	0.1483	123
Var200	CEP250	PE	Lung	0.022300278	0.5813501	0.2665	104
Var201	EDN3	PE	Lung	0.024148527	0.58422485	0.2687	103
Var202	TMPRSS15	PE	Lung	0.022007615	0.46157455	0.1689	121
Var203	IGSF5	PE	Lung	0.022189624	0.1381415	0.0162	183
Var204	RIPK4	PE	Lung	0.022980686	1	0.7803	36
Var205	TMPRSS3	PE	Lung	0.042657102	1	0.7817	23
Var206	SLC19A1	PE	Lung	0.022118268	0.974477649	0.7409	57
Var207	CLTCL1	PE	Lung	0.022294072	0.08751655	0.0069	195.5
Var208	SEZ6L	PE	Lung	0.022118268	0.1386636	0.0164	182
Var209	SMTN	PE	Lung	0.023294815	0.85568255	0.5724	74
Var210	LGALS2	PE	Lung	0.022189624	0.999999631	0.7803	36
Var211	DNAJB7	PE	Lung	0.023815372	0.1290922	0.0142	184
Var212	CELSR1	PE	Lung	0.09115773	1	0.7869	20
Var213	ARSD	PE	Lung	0.742233613	0.7619239	0.8537	16
Var214	ARSD	PE	Lung	0.023916211	0.7619239	0.455	84
